Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"080 Mellon Analytical Solutions LLC (PA for  CA, WA & PA)",,Terminated,09/17/2009,06/26/2011,"100 to 499",3,"CA, PA, WA"
"081 Mellon Analytical Solutions Inc  (Pittsburgh)",,Terminated,10/21/2009,08/10/2011,"20 to 99",1,PA
"1 Stop Money Centers LLC",,Open,08/08/2019,,"20 to 99",8,AZ
"1 Stop Money Centers, LLC",,Open,03/10/2020,,"20 to 99",1,AZ
"1 Washington Avenue Corp",,Open,02/01/2017,,"500 to 999",2,"FL, MA"
"10400 N. 25th Ave., Suite 200","AVESIS, INC",Open,11/19/2015,,"500 to 999",2,"AZ, MD"
"111 Bank  of New York (1 Wall NYC)",,Terminated,04/25/2008,09/15/2011,"10,000 and over",16,"CA, CO, FL, GA, MA, NJ, NY, PA, TN, TX"
"111 Bank of New York (Harrison, NY)",,Terminated,04/25/2008,08/10/2011,"10,000 and over",1,NY
"111 The Bank of New York (Wall)",,Terminated,07/01/2008,08/11/2011,"5,000 to 9,999",7,"NJ, NY"
"1199SEIU Benefit & Pension Funds","1199SEIU National Benefit Fund",Open,01/09/2014,,"1,000 to 2,499",1,NY
"12 West Capital Management LP","12 West Capital Management LP",Open,10/31/2019,,"500 to 999",2,NY
"12 West Capital Management LP  GDG",,Terminated,09/26/2017,02/02/2020,"10 to 19",1,NY
"146 Technology Services Group Inc",,Terminated,10/21/2009,08/10/2011,"10 to 19",2,PA
"1801 Century Park West, 5th Floor - Los Angeles, CA 90067","nimes capital",Open,08/19/2014,,"1,000 to 2,499",1,CA
"181Eagle Investment Systems, LLC",,Terminated,12/29/2010,08/31/2011,"100 to 499",1,MA
"183 Eagle Access, LLC",,Terminated,01/04/2011,08/31/2011,"20 to 99",1,MA
"189 EACM Advisors, LLC (NY for CT)",,Terminated,06/04/2010,08/11/2011,"20 to 99",1,NY
"1st Advantage Federal Credit Union",,Open,04/16/2015,,"100 to 499",1,VA
"1st Alliance Lending, LLC",,Open,09/18/2013,,"100 to 499",1,CT
"1st American Commercial Lending LLC","1st American Commercial Lending",Open,08/30/2017,,"5 to 9",1,AZ
"1st Bank Yuma",,Open,11/28/2007,,"20 to 99",1,AZ
"1st Capital Finance of South Carolina Inc","1st Capital Finance",Open,07/13/2012,,"20 to 99",1,SC
"1st Capital Insurance",,Open,06/12/2018,,"5 to 9",1,SC
"1st Choice Credit Union",,Open,06/18/2012,,"10 to 19",1,GA
"1st Choice Insurance",,Open,12/05/2007,,"5 to 9",1,AZ
"1st Choice Mortgage",,Open,07/27/2011,,"20 to 99",1,SC
"1st Ed Credit Union",,Open,08/02/2010,,"10 to 19",1,PA
"1st Financial Inc",,Open,03/13/2019,,"100 to 499",1,FL
"1st Financial Services of MS Inc",,Open,09/07/2011,,"10 to 19",4,MS
"1st Liberty FCU","1st Liberty FCU",Open,04/01/2019,,"20 to 99",8,"MT, ND"
"1st Medical Network",,Open,04/16/2008,,"20 to 99",1,GA
"1st National Bank of Scotia",,Open,01/06/2009,,"100 to 499",1,NY
"1st National Bank of Waterloo",,Open,07/27/2017,,"100 to 499",1,IL
"1st New England Mortgage Corp",,Terminated,12/11/2009,07/08/2014,"20 to 99",1,MA
"1St Pacific Credit Union",,Open,01/14/2009,,"20 to 99",1,CA
"1st Partners & Co., Inc.",,Open,06/03/2010,,"100 to 499",1,TX
"1st Partners & Co., Inc.","1st Global",Open,10/24/2016,,"100 to 499",1,TX
"1st Patriots Federal Credit Union",,Open,01/13/2012,,"5 to 9",2,SC
"1st Reliant Home Loans Inc.",,Open,01/17/2020,,"20 to 99",1,CA
"1st Reliant Home Loans, Inc",,Open,01/23/2020,,"10 to 19",1,CA
"1st Reliant Home Loans, Inc.",,Open,07/11/2017,,"20 to 99",1,CA
